ra,dec,type,subtype,name,SDSS-ID,objID,sp-ID,oids
137.7167917,39.0339194,Continual  with z,BZB,5BZB J0910+3902,2887-301-4-0199-0054,1237657874327859968,4643-55946-0750,[Decimal('710208400005297')]
137.891521,13.029872,QSO,,SDSS J091133.99+130148.1      ,5972-301-6-0151-0277,1237671125372559872,2436-54054-0098,[Decimal('518209200004660')]
137.91558,46.63978,HII,,Mrk 102,2863-301-3-0106-0017,1237657770705679872,899-52620-0185,[Decimal('750207400033631')]
137.949,33.8213083,ABS,BZG,5BZB J0911+3349,4516-301-3-0087-0241,1237664870285370112,1273-52993-0208,[Decimal('666212400003885')]
137.9639167,29.8248278,Em,BZG,5BZB J0911+2949,4335-301-4-0186-0211,1237664093439650048,5781-56337-0994,"[Decimal('666204300006326'), Decimal('618214100000300')]"
137.973687,37.403867,Em,,FIRST J091153.6+372413        ,3530-301-5-0149-0204,1237660636525420032,1213-52972-0357,[Decimal('710204400024733')]
138.006979,53.343517,Em,,2MASX J09120164+5320369       ,2074-301-5-0133-0167,1237654383051990016,554-52000-0284,[Decimal('785206300017847')]
138.007,53.3432472,LINER,BZG,5BZG J0912+5320,2074-301-5-0133-0167,1237654383051990016,554-52000-0284,[Decimal('785206300017847')]
138.021579,54.528342,Sy1.0,,SDSS J091205.16+543141.2      ,1302-301-1-0209-0120,1237651065194739968,450-51908-0012,[Decimal('785206200014324')]
138.0467083,27.9910778,Continual without z,BZB,5BZB J0912+2759,4518-301-4-0074-0120,1237664879411330048,5779-56338-0766,[]
138.0483333,41.4359194,QSO,BZQ,5BZQ J0912+4126,2864-301-3-0206-0319,1237657775007200000,4641-55947-0590,[]
138.103254,22.085094,QSO,,WISE J091224.78+220506.2      ,5061-301-5-0165-0186,1237667212121400064,2287-53705-0092,[Decimal('569214200003711')]
138.104392,53.694361,Em,,WHL J091225.1+534139          ,1895-301-5-0216-0110,1237653614258289920,554-52000-0297,[Decimal('785206300002154')]
138.1134583,42.5958583,ABS,BZG,5BZG J0912+4235,2864-301-5-0211-0343,1237657776081270016,1201-52674-0397,[]
138.231033,38.28665,Em,,FIRST J091255.4+381711        ,2887-301-2-0198-0211,1237657873254050048,4643-55946-0848,[]
138.390258,-0.714144,QSO1.5,,WISE J091333.65-004251.0      ,1239-301-2-0120-0208,1237650795142840064,472-51955-0201,[]
138.49517,17.94478,ABS,,Mrk 1227,5137-301-4-0171-0187,1237667538002439936,2437-53848-0580,[Decimal('569206300011217')]
138.49771,52.23386,HII,,Mrk 1415,1895-301-2-0211-0012,1237653612647350016,553-51999-0081,[]
138.581425,10.111233,Sy1.9/LINER,,SDSS J091419.53+100640.6      ,3631-301-3-0148-0263,1237661069243310080,5302-55896-0136,[Decimal('518205300011935')]
138.583283,12.004308,ABS,,SDSS J091419.98+120016.2      ,5972-301-3-0154-0393,1237671123762149888,2576-54086-0625,[Decimal('518209300005673')]
138.6579583,2.7664389,QSO1.2,BZQ,5BZQ J0914+0245,6574-301-5-0152-0325,1237673710406070016,567-52252-0217,[Decimal('466206400007307')]
138.658910846288,9.55636554197924,LINER/HII,,,3830-301-1-0143-0179,1237661922867739904,1301-52976-0401,[Decimal('518201200018519')]
138.664317,35.201197,QSO1.5,,B2 0911+35A                   ,3560-301-5-0211-0197,1237660765378510080,1273-52993-0535,[]
138.76183,19.69714,HII,,Mrk 1228,5112-301-3-0195-0061,1237667430092960000,2286-53700-0031,[Decimal('569210300013069')]
138.774242,58.368583,QSO,,87GB 091119.1+583433          ,1412-301-2-0020-0335,1237651538165619968,5723-56597-0862,[]
138.777977534431,44.5755180865207,NLS1.5,,,2777-301-3-0215-0053,1237657401345629952,4687-56369-0770,[Decimal('750202300008767')]
138.869892,44.275833,QSO,,B3 0912+444                   ,2740-301-3-0231-0008,1237657242432890112,832-52312-0174,"[Decimal('750202300004365'), Decimal('710215200000005')]"
138.9682917,29.5566694,Continual without z,BZB,5BZB J0915+2933,4469-301-2-0189-0148,1237664667891719936,1936-53330-0039,[Decimal('618213200002136')]
138.970625,47.6389194,Unknown,BZU,5BZB J0915+4738,2831-301-4-0018-0757,1237657633797829888,899-52620-0617,[Decimal('750206200022780')]
138.97725,20.92875,HII,,Mrk 1229,5071-301-1-0165-0045,1237667252923589888,2288-53699-0466,[]
139.158492,18.637522,QSO,,SDSS J091638.02+183815.2      ,5137-301-5-0176-0063,1237667538539640064,2439-53795-0380,[Decimal('569206100001558')]
139.165037,5.431772,ABS,,WHL J091639.5+052553          ,2986-301-4-0138-0022,1237658299525619968,1193-52652-0638,[]
139.174067,2.714639,QSO,,SDSS J091641.76+024252.8      ,6749-301-4-0156-0132,1237674461488740096,567-52252-0126,[]
139.18362,59.77475,HII,,Mrk 19,1412-301-4-0028-0017,1237651539239889920,485-51909-0306,[Decimal('816203100019945')]
139.19,53.44289,HII,,Mrk 104,2074-301-4-0137-0011,1237654382515379968,553-51999-0596,[Decimal('785206400015895')]
139.19815,38.301492,ABS,,FIRST J091647.5+381805        ,3462-301-6-0205-0139,1237660345008189952,1213-52972-0363,[]
139.20375,38.9078278,QSO,BZQ,5BZQ J0916+3854,2887-301-2-0205-0155,1237657873254510080,4643-55946-0942,[Decimal('710207300014208')]
139.2164167,52.6412194,Em,BZG,5BZG J0916+5238,1895-301-2-0215-0169,1237653612647610112,553-51999-0578,[Decimal('785202100015218')]
139.27179,25.42922,HII,,Mrk 1230,4569-301-2-0186-0097,1237665097388260096,2087-53415-0059,[Decimal('618205100023294')]
139.27861877,21.01405349,Sy1.8,,,5071-301-1-0167-0055,1237667252923719936,2288-53699-0537,[Decimal('569214400005562')]
139.331913,8.588506,ABS,,2MASX J09171959+0835166       ,3538-301-3-0144-0232,1237660669811089920,1301-52976-0115,[]
139.346104,45.746736,ABS,,NVSS J091723+454447           ,2777-301-5-0222-0131,1237657402419830016,5813-56363-0349,[]
139.378287,37.430064,Em,,SDSS J091730.80+372547.9      ,3462-301-4-0202-0232,1237660343934249984,4642-55926-0454,[Decimal('710203300002170')]
139.4171667,40.4916083,Unknown,BZU,5BZB J0917+4029,2887-301-5-0212-0150,1237657874865580032,938-52708-0468,[]
139.6015417,6.6148083,QSO,BZQ,5BZQ J0918+0636,3478-301-2-0155-0569,1237660411576910080,4870-55923-0435,[Decimal('466213300006576')]
