ZTFID,OID
ZTF21abrzsol,400204300023275
ZTF21abrzdqx,450201200011534
ZTF21abrxwvv,441204300011817
ZTF21abrxgiv,735202300010774
ZTF21abrskvb,491211400024459
ZTF21abrpdsp,507209100009025
ZTF21abrotmc,544201300028725
ZTF21abrluay,651207400012737
ZTF21abqvzjy,506202100009617
ZTF21abqjjrb,395207400023740
ZTF21abqikvn,698215300040274
ZTF21abqgbau,284214100111882
ZTF21abqfttg,637211400028536
ZTF21abpxsck,348207400021770
ZTF21abpwtde,599205200032104
ZTF21abpvssa,733213400003472
ZTF21abpjpxr,597212300037459
ZTF21abpaodi,548207200030858
ZTF21abpamxn,734203400016236
ZTF21abowqqa,534212400014081
ZTF21abowpnd,631215300016895
ZTF21abovblm,452203300005404
ZTF21abouexm,766207100049592
ZTF21abotuqo,764209100029823
ZTF21abotose,584210100012861
ZTF21abnvsic,723205100016343
ZTF21abnlhxs,548215300011305
ZTF21abnfgff,497207200028385
ZTF21abnfdqg,652214200006634
ZTF21abmzpmc,629204100017871
ZTF21abmwzxt,446215400006918
ZTF21abmwwsq,737211100014821
ZTF21abmwgdf,289205100011570
ZTF21abmspzt,795211100021055
ZTF21abmspkq,632215300010185
ZTF21abmjgwf,545207300032929
ZTF21abmdnft,447204400022389
ZTF21abmcori,342209300025464
ZTF21ablrhtk,634203400041879
ZTF21abljmmv,336203400043077
ZTF21ablducj,649216100023449
ZTF21abkqkon,548216100014237
ZTF21abkezqs,393206200024242
ZTF21abjrwhq,444211100016491
ZTF21abjrptn,491210400020400
ZTF21abjhiqp,548214100031937
ZTF21abjdqbo,825210200016025
ZTF21abjdiok,534215300008018
ZTF21abjbrrj,757202200017893
ZTF21abjbnhh,428206200014369
ZTF21abjaksr,649212400016833
ZTF21abizxkw,596206300005436
ZTF21abizpri,549213300016386
ZTF21abizmnw,340211200027681
ZTF21abimeun,770206300061327
ZTF21abilrxd,684212400028548
ZTF21abieuta,646209200035751
ZTF21abidtrd,638216400049585
ZTF21abhzicj,822206200020849
ZTF21abhzboh,481216300034889
ZTF21abhyukx,632211200038956
ZTF21abhyqlv,760215200018447
ZTF21abhuoyz,529214300019201
ZTF21abhthvj,390206200017984
ZTF21abhtaiv,763206100012896
ZTF21abhtafw,764207200025935
ZTF21abhshmt,757212200007123
ZTF21abhrmrv,647208100036113
ZTF21abhqhqb,716209100027667
ZTF21abhkeak,694204100039863
ZTF21abhhbmd,645215400014741
ZTF21abgzpii,699211200022256
ZTF21abgxudc,846209300014595
ZTF21abgmyzw,583206400014517
ZTF21abghumo,796208400002093
ZTF21abgcgem,766204100015013
ZTF21abfxhrn,549211200015395
ZTF21abfqisi,644210200008633
ZTF21abfoyac,537204300055888
ZTF21abfoxwp,278216400022593
ZTF21abfoace,679214200039691
ZTF21abfnjiu,582212200020758
ZTF21abfjrjy,630202200029527
ZTF21abfiuqf,846209400027432
ZTF21abephjt,544209200031076
ZTF21abeokcr,632208400018187
ZTF21abegynu,638214400112842
ZTF21abebgfr,390214300017148
ZTF21abdveqn,490210300053998
ZTF21abdpios,754205400000794
ZTF21abdmevk,722205300004781
ZTF21abdcauj,583211100033006
ZTF21abczimc,584208100028135
ZTF21abcxner,627207200002430
ZTF21abcwsho,632207200010614
ZTF21abctmnb,845207100019722
ZTF21abcrhpk,493211400027184
ZTF21abcnpnk,635204200021504
ZTF21abcmlzt,824208100004965
ZTF21abcmepi,473205200009917
ZTF21abchjer,645206200038251
ZTF21abcgrcj,690205200023584
ZTF21abcfgub,789215300014590
ZTF21abbzjeq,679215400015888
ZTF21abbzhvg,482215200014463
ZTF21abbytmm,372203100008430
ZTF21abbxdcm,530202100012708
ZTF21abbvkpr,715210100013520
ZTF21abbsbov,581207200035570
ZTF21abbqeea,822205300033879
ZTF21abbomrf,719205300035279
ZTF21abbliav,544205100007200
ZTF21abbkefe,532209400036886
ZTF21abbjybk,631204300003324
ZTF21abbcsfu,645204300018016
ZTF21abatolf,478201100019134
ZTF21abasfmq,627204200026848
ZTF21abaphri,827207400041001
ZTF21abahyyj,536215200034379
ZTF21abahgst,635216300042887
ZTF21aazybsh,792210400001255
ZTF21aazlxiw,633215300017905
ZTF21aazgkjf,441213400009461
ZTF21aazfkyj,337204400017638
ZTF21aazcgof,429204100037463
ZTF21aazazvw,861214100006399
ZTF21aayrbnn,863208200006742
ZTF21aayquba,679205200003197
ZTF21aayqrgx,845215400000774
ZTF21aayggyo,483204100026795
ZTF21aayfnjz,627207300027426
ZTF21aaydxoo,476208400020579
ZTF21aaxzbrn,635215200026745
ZTF21aaxyecd,716206100016159
ZTF21aaxxmvs,754208200025065
ZTF21aaxxjen,573210300010503
ZTF21aaxvnjy,725202300022318
ZTF21aaxtsqe,678203200038967
ZTF21aaxtrlt,427215300021869
ZTF21aaxtije,864216400034536
ZTF21aaxswlc,788209300002921
ZTF21aaxstzy,631204400036471
ZTF21aaxstsv,529202300005364
ZTF21aaxsnvk,821212300016804
ZTF21aaxlbad,799208200017968
ZTF21aaxksct,824207300042423
ZTF21aaxkckg,711209200004209
ZTF21aawyyha,844205400012434
ZTF21aawtazf,585208200017253
ZTF21aawogdl,530203200035955
ZTF21aawmtug,622206300020822
ZTF21aawlwoy,521207400017503
ZTF21aawiwqh,679206400010195
ZTF21aawckpe,475203400009339
ZTF21aavuqzr,799213100009663
ZTF21aavozbk,626203300016551
ZTF21aavotzn,786205100001957
ZTF21aavoqpl,666213400020565
ZTF21aavhnpk,491201400010491
ZTF21aavheiv,846211100008124
ZTF21aavdqgf,529215100016282
ZTF21aautijg,675205300008057
ZTF21aaugbus,840212100016887
ZTF21aaublej,681213100040877
ZTF21aauapli,484209300052917
ZTF21aatwlhj,521210300028637
ZTF21aatvcdl,749207200035295
ZTF21aatsafx,636206400050081
ZTF21aatlbsi,866204100004198
ZTF21aatdzmt,677215100033293
ZTF21aasyzkt,788211300011935
ZTF21aaswvyc,724208400025242
ZTF21aasuazz,369215400002088
ZTF21aastazz,747206300025726
ZTF21aassamj,536212100019153
ZTF21aaskyvp,800203400075821
ZTF21aasbkrl,677207300037629
ZTF21aarybxo,423216100019961
ZTF21aarxsfm,714211100030227
ZTF21aarskup,849201300017202
ZTF21aarohyu,789203400001692
ZTF21aarmuxl,710214300009682
ZTF21aarigsr,630210400018774
ZTF21aarhnwn,370216200009656
ZTF21aarguvb,421208400005245
ZTF21aarenhl,715205200009627
ZTF21aarejnt,424206300016088
ZTF21aareexg,419201300013472
ZTF21aardybv,418206400028194
ZTF21aarcobt,799211100008089
ZTF21aarcldd,676211100018722
