ZTFID,OID
ZTF24aaqxkuz,427210400036905
ZTF24aaqxajf,578210200010621
ZTF24aaqugzv,724212400013586
ZTF24aapzzfc,340205400024137
ZTF24aapqsca,580214200006828
ZTF24aappljp,792207400013089
ZTF24aaplfjd,650203200041329
ZTF24aaphwtj,576206300005209
ZTF24aapexhw,676205200006247
ZTF24aapeoye,758210300020965
ZTF24aapebzb,844213400003492
ZTF24aaozxhx,478203100034986
ZTF24aaoxbth,378202400041025
ZTF24aaovqaq,719202400000324
ZTF24aaovokk,761211200031652
ZTF24aaotzpd,864214200009115
ZTF24aaotmdk,481210200007570
ZTF24aaosvzx,763208300030420
ZTF24aaosrdt,762206300029491
ZTF24aaosqgf,580203200009846
ZTF24aaosmwq,275216400007223
ZTF24aaosgwr,494204100022133
ZTF24aaopngg,530209200034625
ZTF24aaoosca,725208300031077
ZTF24aaoodsh,578216300009376
ZTF24aaonrzo,1571207300040347
ZTF24aaoniol,491211400052673
ZTF24aaomuhe,538202100164188
ZTF24aaofamr,1829209100038314
ZTF24aaoauvb,493206400002531
ZTF24aaoaghn,439214300031011
ZTF24aanppvy,377213200019698
ZTF24aanmrts,1680215400005954
ZTF24aankvcy,626215300022870
ZTF24aangsva,533212400023203
ZTF24aancjzy,541203300104563
ZTF24aamvzfc,759210400034013
ZTF24aamtwya,574213300041756
ZTF24aamtsgz,1583208100054536
ZTF24aamtpla,543215100043625
ZTF24aampakt,526205100009919
ZTF24aamkufg,626211200027521
ZTF24aamilxy,827209400026663
ZTF24aamilir,721205200004255
ZTF24aalubmp,799204400001496
ZTF24aaltyyy,490208100047463
ZTF24aalndou,800204100059899
ZTF24aalepin,522201400040482
ZTF24aalbzkr,426206100019983
ZTF24aakzive,441213100040524
ZTF24aakzgnd,727209400050693
ZTF24aakyqxt,323205200011507
ZTF24aakudig,480215300026838
ZTF24aaktjyo,573203200035491
ZTF24aakrsww,583211100006980
ZTF24aakrqzs,676206200009141
ZTF24aaknlar,529216200025114
ZTF24aakghyl,795207400011693
ZTF24aakfltk,875203300042352
ZTF24aakfgvg,788207300018129
ZTF24aakaiqs,634204400046014
ZTF24aajxppf,537203200033225
ZTF24aajxpmq,685206300058345
ZTF24aajvmgm,526203400007056
ZTF24aajvldc,368215400008768
ZTF24aajqtjc,722202100017752
ZTF24aajqsti,682207100031747
ZTF24aajnwwr,421212100007305
ZTF24aajhxqs,720207100029000
ZTF24aajhlhf,579213400017886
ZTF24aajgwdv,789210200000473
ZTF24aaiwgyo,1719216400022567
ZTF24aaiukjs,1530211200004396
ZTF24aaitxdn,681204200023441
ZTF24aaistkr,794204200021247
ZTF24aaisoke,862215100002245
ZTF24aaisnlp,792213200037965
ZTF24aaismud,478211300023396
ZTF24aaiowju,799210400041608
ZTF24aaimlne,578207400033900
ZTF24aailzom,667202200036094
ZTF24aaijqso,586215300043918
ZTF24aaijpbj,1580207100039603
ZTF24aaihwaq,470208100007922
ZTF24aaigbbv,645209300040196
ZTF24aaifila,847211100022730
ZTF24aaieled,423215400029894
ZTF24aaidazw,525216300009235
ZTF24aaiahuu,764216400019270
ZTF24aaiaaxr,584203300040510
ZTF24aahzfwk,420205100009223
ZTF24aahxmmu,761214400002393
ZTF24aahxgoa,721206200036924
ZTF24aahwulu,1874202100031398
ZTF24aahwcei,788215300018976
ZTF24aahvyso,1706212300032645
ZTF24aahuzig,783202200023342
ZTF24aahuulq,566205200025885
ZTF24aahtdhb,535215300040103
ZTF24aahswbd,631212100026896
ZTF24aahsuoj,861209100006666
ZTF24aahsukk,629209400019279
ZTF24aahphdh,713207300002318
ZTF24aahoihk,566206100021353
ZTF24aahnnsa,714202400001349
ZTF24aahnefg,374213100015974
ZTF24aahjhtv,1754208200033048
ZTF24aahipde,760215400034752
ZTF24aahiitr,627204200017932
ZTF24aahiewj,819210300032554
ZTF24aahicbz,273209400007387
ZTF24aahhlmp,717209400016878
ZTF24aahhanf,522205300028146
ZTF24aahgqwk,573208300037783
ZTF24aahgkxm,712207200002277
ZTF24aahgkhh,1784211300036130
ZTF24aahggdt,871206400007957
ZTF24aahesvl,1578202300035510
ZTF24aahestx,724205200039391
ZTF24aaheedw,725204300043020
ZTF24aahdihc,756205100016950
ZTF24aahdfdo,476203300003683
ZTF24aahaanm,479208300017886
ZTF24aahaajg,479211300015427
ZTF24aaguphd,761205200026132
ZTF24aagtmbq,1626203200033146
ZTF24aagtlpi,675203300010905
ZTF24aagtesv,528214300028786
ZTF24aagterj,528211400011788
ZTF24aagpxan,704213200039132
ZTF24aagpwsh,705209200022097
ZTF24aagomqx,794204300001185
ZTF24aagkjca,667212100037239
ZTF24aagfeti,530214300024323
ZTF24aagchqx,673202400009779
ZTF24aaejecr,788209100034227
ZTF24aaehfgk,262211100045418
ZTF24aaeczdw,708205300019872
ZTF24aadykqs,666213100009769
ZTF24aadsehp,361209400009288
ZTF24aadlwsg,812210100026380
ZTF24aadltss,355207400013700
ZTF24aadkwol,418211400031020
ZTF24aadkwni,418215200025044
ZTF24aadjxbk,695214200044825
ZTF24aadfmaf,429215300003821
ZTF24aaczgax,622203200036086
ZTF24aacrbua,375203200020115
ZTF24aacbpej,353204100012356
ZTF24aabwvws,697208400023913
ZTF24aabuaij,262211100041983
ZTF24aabsmvc,859203200030572
ZTF24aabpojp,573214400021748
ZTF24aabplhb,860207400021298
ZTF24aaakprs,474201400017872
ZTF24aaaintg,523208200003776
ZTF24aaaieeg,859204200030136
ZTF24aaaibep,419212100014760
ZTF24aaahxph,417206200013551
ZTF24aaaewiv,662208200013797
ZTF24aaaenwq,404207300030699
ZTF24aaaefgv,608212200017187
ZTF24aaabybk,464205400021562
ZTF24aaabljq,669204400038875
ZTF24aaabbse,617206300026962
ZTF23abvyqwv,1783202100037778
ZTF23abvommm,350212300019143
ZTF23abvnmam,555201100019579
ZTF23abvnhfx,554215400038805
ZTF23abuitpw,505210200010920
ZTF23abudnet,1785211400016999
ZTF23abtowce,400207100007241
ZTF23abtdizt,453208300013892
ZTF23absiytp,571206200039613
ZTF23absgcqv,305209200007678
ZTF23absflyh,298206400036970
ZTF23absekbz,449203300037589
ZTF23absdibx,1406216200037367
ZTF23absbygq,748212100007786
ZTF23abqkppm,661203100033641
ZTF23abqcuvw,690207100037980
ZTF23abqbpob,649216200018867
ZTF23abovvas,491201100033545
ZTF23abovaur,573216400025753
ZTF23abomtjc,354210400037977
ZTF23abolkiw,401209400020965
ZTF23abokzba,406213300024348
ZTF23abojjkh,294208300038686
ZTF23aboemfi,599215200028903
ZTF23abochfb,399208400016473
ZTF23abobwsd,1694211100046933
ZTF23abnydbs,447206100008145
ZTF23abnrtcb,397206300008514
ZTF23abnqbkx,735205200005946
ZTF23abnpjlt,390212400042316
ZTF23abnpddd,389201400039578
