ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF22aadkocy,316209400016759,SN2022gnd,10:41:17.35,-16:05:36.2,1680.73,r,17.2322,-18.18,13.74,4.437,9.303,SN Ia,0.02635,36.4764767,0.159
ZTF22aadgsdi,765204300012300,SN2022erq,18:33:25.35,+44:05:11.6,1679.98,r,16.1145,-21.30,>62.594,>9,53.594,SN Ia-CSM,0.066,21.5583853,0.145
ZTF22aadghdv,585203100042587,SN2022gjr,16:47:03.84,+16:27:59.9,1683.9,r,18.2515,-19.23,>25.021,>10.02,15.001,SN Ia,0.067,34.75177882,0.18
ZTF22aadfgpu,634212200041172,SN2022gjq,16:49:09.49,+27:12:41.6,1683.96,g,17.9472,-19.86,24.788,9.817,14.971,SN Ia,0.073,37.66576724,0.238
ZTF22aadfbim,673216300011684,SN2022gdi,12:47:11.85,+35:44:50.4,1684.84,r,18.6557,-18.99,21.142,9.719,11.423,SN Ia,0.076,81.33392644,0.044
ZTF22aadeurv,676211400036465,SN2022fud,14:35:20.22,+33:50:44.7,1682.88,g,17.8834,-19.24,21.252,9.29,11.962,SN Ia,0.06,66.70336155,0.029
ZTF22aadetzg,677201400042430,SN2022fnu,15:25:46.91,+30:12:07.3,1683.8,g,18.0782,-19.24,>21.048,>10.96,10.088,SN Ia,0.06492,56.16343295,0.054
ZTF22aadesjc,721215200004670,SN2022fnl,15:33:42.47,+43:44:45.4,1788.76,r,18.3595,-19.99,231.705,87.931,143.774,SN IIn,0.1035,53.48479478,0.073
ZTF22aacwsjl,520205300013480,SN2023hsq,10:12:46.26,+10:10:39.5,2073.69,r,18.2615,-19.25,25.795,9.157,16.638,SN Ia,0.0698,49.01483787,0.108
ZTF21acpzlho,449214300025507,SN2021aexx,01:18:20.10,+07:23:59.8,1540.81,g,18.7626,-17.36,>89.802,5.972,>83.83,SN II,0.037,-54.86270544,0.084
ZTF21acozrga,354216400033768,SN2021aepp,04:25:40.37,-07:49:31.8,1536.9,g,18.6132,-17.42,>3.893,3.893,>0,SN II,0.0311,-35.86046045,0.325
ZTF21acoqbuo,413203300031089,SN2021aegw,08:00:55.09,-05:45:29.0,1538.94,r,18.144,-18.96,19.788,8.142,11.646,SN Ia,0.05524,12.62753446,0.239
ZTF21acojncf,474205200014036,SN2021aeer,13:00:02.29,+04:07:00.1,1540.04,r,17.9165,-19.20,>18.276,7.296,>10.98,SN Ia,0.059,66.89698848,0.082
ZTF21acnveyk,364211100011165,SN2021adza,09:16:30.14,-08:12:14.7,1538.9,g,18.452,-18.85,>23.024,11.004,>12.02,SN Ia,0.0634,27.12947661,0.084
ZTF21acngvxd,524211300027944,SN2021aemm,11:51:33.31,+11:55:34.8,1537.03,g,18.1065,-19.23,>21.583,7.613,>13.97,SN Ia,0.064,69.30122681,0.095
ZTF21acmnpqa,842209300035125,SN2021adpx,11:16:45.71,+69:25:02.8,1532.93,r,18.3894,-18.19,>23.617,5.707,>17.91,SN Ia,0.047,45.51547717,0.034
ZTF21aclzvgz,861207200009990,SN2021adyo,11:36:52.88,+75:42:39.7,1532.95,r,18.9001,-,>25.578,7.598,>17.98,SN II,-,40.54292861,0.137
ZTF21acljfzt,469201300006092,SN2021adhw,10:42:51.54,+00:51:53.6,1533.02,g,18.212,-19.38,24.852,8.527,16.325,SN Ia,0.07,49.49557657,0.138
ZTF21ackrvob,456213100022374,SN2021adlp,04:46:43.92,+08:11:45.3,1532.88,r,18.5722,-19.06,>11.476,11.476,>0,SN Ia,0.066,-23.0176256,0.409
ZTF21ackdwjm,603215400009560,SN2021adpo,01:32:35.02,+28:12:29.7,1531.86,g,18.7506,-19.08,>18.736,7.836,>10.9,SN Ia,0.075,-33.78981688,0.212
ZTF21ackcxql,549210300020539,SN2021adav,23:42:04.53,+12:20:32.0,1531.81,g,18.7814,-19.56,>20.903,9.083,>11.82,SN Ia,0.094,-47.09098604,0.219
ZTF21acjxiqw,256210200034795,SN2021acvc,05:30:38.11,-22:54:01.2,1530.88,r,18.794,-16.96,>43.983,24.023,>19.96,SN IIP,0.03141,-27.42167177,0.106
ZTF21acjvgxg,663215200011090,SN2021adgw,07:42:21.91,+36:42:54.5,1531.88,g,18.5604,-19.58,23.887,8.853,15.034,SN Ia,0.087,25.45717264,0.198
ZTF21acjrfhr,296201200010260,SN2021actw,01:11:51.33,-19:28:51.9,1527.75,r,18.5308,-19.33,>25.584,10.644,>14.94,SN Ia,0.084,-81.03324653,0.039
ZTF21acjqhou,524213300036472,SN2021acon,12:06:39.83,+13:48:54.4,1523.04,r,18.9814,-16.63,>23.97,>10,>13.97,SN II,0.0297,73.0747784,0.087
ZTF21acjotip,753208100033036,SN2021adgm,10:50:24.24,+47:26:00.9,1530.01,g,18.2102,-19.55,31.346,10.464,20.882,SN Ia,0.07917,58.85243467,0.057
ZTF21acjosix,788210100004929,SN2021aczr,11:28:15.89,+56:05:20.0,1525.04,g,18.8372,-19.46,28.416,10.927,17.489,SN Ia,0.102,57.41712984,0.035
