ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aahzyep,623202100027634,SN2020bli,11:39:29.72,+23:56:01.2,887.01,r,18.9989,-19.26,25.431,12.085,13.346,SN Ia,0.1,73.47490922,0.059
ZTF20aahpwym,761214100017271,SN2020asq,16:21:46.28,+50:43:40.0,882.02,g,17.6231,-19.33,26.737,9.713,17.024,SN Ia,0.055,44.05163322,0.054
ZTF20aahjymt,414207400036514,SN2020bbi,08:32:38.53,-04:17:09.6,884.71,r,18.4309,-19.08,25.089,12.477,12.612,SN Ia,0.07,20.19498516,0.102
ZTF20aahggbm,574203200003143,SN2020axo,11:28:00.02,+16:36:26.6,880.94,g,18.6994,-19.62,20.592,6.981,13.611,SN Ia,0.1,68.01613855,0.089
ZTF20aahdwze,786202300014371,SN2020amx,09:54:16.96,+51:40:52.5,883.93,g,17.2234,-19.44,24.231,8.308,15.923,SN Ia,0.049,48.83054599,0.024
ZTF20aaghnxd,625213100007634,SN2020alf,12:47:10.36,+29:34:33.4,878.99,g,17.9138,-19.56,23.442,8.301,15.141,SN Ia,0.07,87.37872462,0.038
ZTF20aafrihv,751215300028619,SN2020ady,09:43:56.71,+49:52:14.1,879.73,g,17.6484,-19.63,25.926,10.837,15.089,SN Ia,0.064,47.79719752,0.046
ZTF20aaflaug,789206200033533,SN2020aei,12:05:46.32,+54:23:21.9,874.01,r,18.5895,-18.16,15.551,9.463,6.088,SN Ia,0.05065,61.48298696,0.042
ZTF20aafcjln,422216100006960,SN2020vf,12:11:37.00,+00:19:20.2,873.9,g,15.5333,-19.26,23.913,4.68,19.233,SN Ia,0.0203,61.53852658,0.072
ZTF20aaevbvv,662208200027645,SN2020tn,07:03:22.72,+33:00:49.8,867.71,g,17.8775,-19.50,26.511,7.463,19.048,SN Ia,0.06,16.69672648,0.247
ZTF20aaerxsd,758204200010179,SN2020py,14:00:54.26,+45:28:21.5,872.95,g,17.8358,-19.01,22.641,11.002,11.639,SN Ia,0.0533,67.0333668,0.022
ZTF20aaerqjd,794205300031075,SN2020us,15:55:58.94,+53:45:00.7,872.93,g,18.5039,-19.52,28.747,12.718,16.029,SN Ia,0.09,47.08767869,0.041
ZTF20aadyyvk,821209100020718,SN2020yy,14:18:53.91,+63:09:45.0,890.96,r,18.8477,-18.53,55.128,29.543,25.585,SN IIn,0.0675,51.23889359,0.046
ZTF20aadxvfj,525211400016058,SN2020pf,12:26:04.68,+12:27:35.6,872.0,r,18.8994,-19.27,33.303,18.637,14.666,SN Ia,0.095,74.17363398,0.085
ZTF20aadxrvb,421207400022619,SN2020rc,11:50:34.07,-04:20:22.7,862.02,r,18.3551,-19.44,54.797,5.369,49.428,SN IIn,0.081,55.26692848,0.064
ZTF20aadvunl,747207300022170,SN2020to,07:12:49.37,+46:16:52.1,867.77,r,18.8172,-18.49,36.093,11.322,24.771,SN Ia,0.06,22.75977294,0.266
ZTF20aacbyec,574210100027710,SN2019zrk,11:39:47.40,+19:55:46.7,898.88,g,17.0286,-19.03,18.04,5.036,13.004,SN IIn,0.0362,72.09416429,0.069
ZTF20aacbtgq,787207200020349,SN2020nr,10:22:52.98,+54:03:37.4,867.91,g,17.9777,-19.24,24.956,9.735,15.221,SN Ia,0.0629,51.77587285,0.024
ZTF20aabqjht,676210100000576,SN2020bm,14:44:32.60,+35:06:19.4,863.95,g,17.8758,-19.87,26.148,8.555,17.593,SN Ia,0.08,64.61440343,0.026
ZTF20aabqisb,848212200030576,SN2020kq,17:06:03.65,+70:46:31.0,867.03,r,18.534,-18.28,>26.015,>16.02,9.995,SN Ia,0.0513,34.09750328,0.095
ZTF20aabqiav,630203400007925,SN2020ba,15:01:34.89,+23:14:39.7,862.0,g,17.9554,-18.87,32.964,16.466,16.498,SN II,0.05,60.38456436,0.121
ZTF20aaawmxq,789213200021177,SN2020nv,12:17:04.27,+58:35:53.5,861.95,g,18.3657,-19.66,22.879,8.903,13.976,SN Ia,0.09,57.96361233,0.043
ZTF19adcecwu,819213400034098,SN2019yvq,12:27:21.83,+64:47:59.8,864.83,r,14.6433,-18.34,19.102,9.046,10.056,SN Ia,0.009,52.13304548,0.054
ZTF19adbricc,615211100014403,SN2019zro,07:31:01.37,+27:43:59.3,855.68,g,18.3177,-19.79,34.491,10.807,23.684,SN Ia,0.09,20.33948091,0.11
ZTF19adajqwl,630216200002127,SN2019xbr,14:47:28.71,+29:32:12.3,851.06,g,17.6981,-19.79,27.299,6.934,20.365,SN Ia,0.07,64.41758713,0.053
ZTF19adajqcq,794202100026451,SN2019xbu,15:51:50.54,+52:09:06.3,851.06,g,17.4775,-19.25,21.016,8.522,12.494,SN Ia,0.05,48.20326087,0.035
ZTF19aczlldp,452208100009398,SN2019wzx,02:31:07.75,+04:18:40.6,846.63,r,17.5251,-17.95,34.624,10.016,24.608,SN II,0.0275,-50.40292167,0.119
ZTF19acyjysk,842211200017667,SN2019wmf,10:29:53.88,+70:47:09.6,888.93,r,17.501,-19.69,111.154,51.887,59.267,SN IIn,0.06,42.01875918,0.134
ZTF19acygjmg,782207100035408,SN2019wmu,06:55:03.34,+54:46:10.6,849.98,g,17.7372,-19.52,27.289,16.808,10.481,SN Ia,0.06,22.36904658,0.147
ZTF19acxyumq,754208100007659,SN2019wvc,11:30:42.17,+47:30:24.0,850.01,g,16.8789,-19.37,24.966,14.962,10.004,SN Ia,0.04,64.22327897,0.042
ZTF19acxnemy,665210100033508,SN2019wce,08:59:27.77,+35:00:18.2,827.95,r,18.2365,-19.26,18.761,5.298,13.463,SN Ia,0.07,40.38712748,0.087
ZTF19acxndsk,785210300019938,SN2019wiq,09:08:47.62,+55:30:12.3,846.99,g,17.3341,-19.32,28.353,15.471,12.882,SN Ia,0.04788,41.31006111,0.055
ZTF19acxgwvo,445209200021817,SN2019wbd,23:20:35.17,-00:52:51.0,831.57,r,17.3277,-16.74,46.524,14.493,32.031,SN II,0.01459,-55.8818325,0.096
ZTF19acvrigb,709205100030354,SN2019vkz,09:04:07.86,+39:40:42.1,823.94,g,16.3664,-19.13,33.009,9.997,23.012,SN Ia,0.02805,41.75396792,0.063
